Question,Answer,Intent
شنو تخصصات كلية الهندسة؟,هندسة الذكاء الاصطناعي هندسة الامن السيبراني هندسة التصميم الرقمي هندسة الحوسبة المتنقله هندسة العماره,Engineering_Departments
كلية الهندسة شنو بيها أقسام؟,هندسة الذكاء الاصطناعي هندسة الامن السيبراني هندسة التصميم الرقمي هندسة الحوسبة المتنقله هندسة العماره,Engineering_Departments
أريد أعرف أقسام كلية الهندسة شنو هي؟,هندسة الذكاء الاصطناعي هندسة الامن السيبراني هندسة التصميم الرقمي هندسة الحوسبة المتنقله هندسة العماره,Engineering_Departments
شنو هيه اقسام كلية الهندسة؟,هندسة الذكاء الاصطناعي هندسة الامن السيبراني هندسة التصميم الرقمي هندسة الحوسبة المتنقله هندسة العماره,Engineering_Departments

"شنو الفرق بين الأمن والذكاء؟","الأمن السيبراني يحمي الأنظمة من الاختراق، والذكاء الاصطناعي يجعل الأنظمة تفكر وتتعلم.","Cyber_AI"
"شنو الفرق بين الذكاء والأمن؟","الأمن السيبراني يحمي الأنظمة من الاختراق، والذكاء الاصطناعي يجعل الأنظمة تفكر وتتعلم.","Cyber_AI"
"شنو الفرق بين الأمن والحوسبة؟","الأمن السيبراني يحمي البيانات، والحوسبة المتنقلة تسمح باستخدامها بأي مكان.","Cyber_Mobile"
"شنو الفرق بين الحوسبة والأمن؟","الأمن السيبراني يحمي البيانات، والحوسبة المتنقلة تسمح باستخدامها بأي مكان.","Cyber_Mobile"
"شنو الفرق بين الأمن والتصميم؟","الأمن السيبراني يهتم بالحماية، والتصميم الرقمي يهتم بالشكل والجمال.","Cyber_Design"
"شنو الفرق بين التصميم والأمن؟","الأمن السيبراني يهتم بالحماية، والتصميم الرقمي يهتم بالشكل والجمال.","Cyber_Design"
"شنو الفرق بين الأمن والعمارة؟","الأمن يحمي الأنظمة الرقمية، والعمارة تبني وتصمم المنشآت الواقعية.","Cyber_Arch"
"شنو الفرق بين العمارة والأمن؟","الأمن يحمي الأنظمة الرقمية، والعمارة تبني وتصمم المنشآت الواقعية.","Cyber_Arch"
